Shila,x1,y1,z1,,x2,y2,z2
,-30,-15,25,,,,
,25,25,51,,,,
,-37,-35,40,,,,
,10,-13,71,,,,
,47,-17,14,,,,
,-10,25,50,,,,
,52,27,78,,,,
,27,-19,13,,,,
,-30,21,35,,,,
,32,70,25,,,,
,-17,53,29,,,,
,27,-3,72,,,,
,34,-18,14,,,,
,-26,29,41,,,,
,-31,-32,44,,,,
,16,35,42,,,,
,37,37,39,,,,
,52,37,39,,,,
,42,56,12,,,,
,39,53,14,,,,
,59,47,22,,,,
,65,47,19,,,,
,64,47,19,,,,
,34,37,24,,,,
,37,38,16,,,,
,46,39,14,,,,
,-17,39,49,,,,
,-14,34,47,,,,
,14,27,51,,,,
,67,44,18,,,,
,58,31,26,,,,
,39,29,15,,,,
,-21,-18,24,,,,
,65,41,42,,,,
,69,43,41,,,,
,70,42,9,,,,
,72,42,12,,,,
,16,-21,18,,,,
,14,37,16,,,,
,12,32,20,,,,
,-31,32,21,,,,
,-33,34,46,,,,
,9,-37,19,,,,
,71,43,16,,,,
,46,40,22,,,,
,-19,37,18,,,,
,59,46,24,,,,
,63,42,23,,,,
,-28,41,11,,,,
,-12,-18,44,,,,
,49,38,25,,,,
,-37,34,39,,,,
,-11,36,16,,,,
,42,39,14,,,,
,23,34,21,,,,
,29,41,14,,,,
,51,43,16,,,,
,59,45,13,,,,
,62,42,15,,,,
,47,47,29,,,,
,43,37,16,,,,
,32,32,22,,,,
,-17,34,25,,,,
,52,-31,27,,,,
,13,32,16,,,,
,34,47,51,,,,
,14,-14,19,,,,
,12,-16,19,,,,
,41,37,14,,,,
,64,42,16,,,,
,34,36,8,,,,
,58,38,21,,,,
,-34,-32,38,,,,
,-37,-34,41,,,,
,-31,-37,42,,,,
,-35,-38,42,,,,
,61,38,18,,,,
,54,36,16,,,,
,-25,25,12,,,,
,45,40,11,,,,
,38,42,10,,,,
,55,15,20,,,,
,-22,-8,40,,,,
,-24,-8,28,,,,
,-28,30,-15,,,,
,-25,32,10,,,,
,-27,38,22,,,,
,-28,28,17,,,,
,-24,20,34,,,,
,-29,22,52,,,,
,-30,10,48,,,,
,-30,-32,10,,,,
,-52,-58,8,,,,
,-42,-10,30,,,,
,-10,-12,32,,,,
,-8,10,33,,,,
,-30,20,10,,,,
,10,30,40,,,,
,-38,10,28,,,,
,-10,-22,28,,,,
,14,-24,12,,,,
,12,32,17,,,,
,32,-17,24,,,,
,28,-26,21,,,,
,-12,-22,30,,,,
,-8,-10,40,,,,
,10,20,7,,,,
,30,30,9,,,,
,22,32,11,,,,
,23,18,9,,,,
,23,31,7,,,,
,18,31,13,,,,
,32,31,10,,,,
,-21,30,9,,,,
,10,32,7,,,,
,-32,-29,21,,,,
,40,30,6,,,,
,38,35,9,,,,
,38,32,3,,,,
,41,42,7,,,,
,42,41,11,,,,
,47,43,14,,,,
,50,38,16,,,,
,-10,37,9,,,,
,-8,36,10,,,,
,52,-10,37,,,,
,48,20,16,,,,
,47,21,19,,,,
,20,18,19,,,,
,11,17,43,,,,
,-10,16,28,,,,
,8,12,17,,,,
,38,20,16,,,,
,42,22,20,,,,
,-22,36,8,,,,
,-28,37,9,,,,
,40,10,14,,,,
,-10,-27,15,,,,
,30,40,8,,,,
,50,32,6,,,,
,-7,-17,28,,,,
