Shila,x1,y1,z1,,x2,y2,z2
,-30,-15,25,,,,
,25,25,51,,,,
,-37,-35,40,,,,
,10,-13,71,,,,
,47,-17,14,,,,
,-10,25,50,,,,
,52,27,78,,,,
,27,-19,13,,,,
,-30,21,35,,,,
,32,70,25,,,,
,-17,53,29,,,,
,27,-3,72,,,,
,34,-18,14,,,,
,-26,29,41,,,,
,-31,-32,44,,,,
,16,35,42,,,,
,37,37,39,,,,
,52,37,39,,,,
,42,56,12,,,,
,39,53,14,,,,
,59,47,22,,,,
,65,47,19,,,,
,64,47,19,,,,
,34,37,24,,,,
,37,38,16,,,,
,46,39,14,,,,
,-17,39,49,,,,
,-14,34,47,,,,
,14,27,51,,,,
,67,44,18,,,,
,58,31,26,,,,
,39,29,15,,,,
,-21,-18,24,,,,
,65,41,42,,,,
,69,43,41,,,,
,70,42,9,,,,
,72,42,12,,,,
,16,-21,18,,,,
,14,37,16,,,,
,12,32,20,,,,
,-31,32,21,,,,
,-33,34,46,,,,
,9,-37,19,,,,
,71,43,16,,,,
,46,40,22,,,,
,-19,37,18,,,,
,59,46,24,,,,
,63,42,23,,,,
,-28,41,11,,,,
,-12,-18,44,,,,
,49,38,25,,,,
,-37,34,39,,,,
